population,profile_id,rotor_position,rotor_present,s2_coupling_interval_ms,apd90_0d_ms,erp_1d_ms,cv_1d_cm_s,vw_any_duration_ms,vw_sustained_duration_ms,df_baseline_hz,area_baseline_cm2,df_baseline_interval_0p5hz,df_baseline_subgroup
pAF,11,i,1,205,167.914761979424,198,70.9459459459459,28,26,5.2490234375,0.9666,5.0-5.5,mid
pAF,19,i,0,NaN,232.869563272674,236,77.7777777777778,0,0,NaN,NaN,,
pAF,23,i,1,250,177.351908240176,245,64.3513789581205,36,36,5.126953125,0.6327,5.0-5.5,mid
pAF,37,i,1,192,179.330224472258,189,85.8310626702997,15,15,5.7373046875,1.4031,5.5-6.0,mid
pAF,49,i,0,NaN,244.853919152731,282,77.8739184177997,0,0,NaN,NaN,,
pAF,73,i,1,192,178.737184183236,189,78.1637717121588,14,14,5.7373046875,1.3833,5.5-6.0,mid
pAF,85,i,1,178,168.690775783412,176,83.1134564643799,17,17,6.591796875,1.0233,6.5-7.3,high
pAF,99,i,0,NaN,209.190639863438,256,79.2452830188679,2,0,NaN,NaN,,
pAF,117,i,0,NaN,214.879282947542,241,87.0165745856354,12,0,NaN,NaN,,
pAF,119,i,0,NaN,240.047028689616,272,86.1833105335157,2,0,NaN,NaN,,
pAF,127,i,0,NaN,225.16790045044,264,60.1145038167939,17,0,NaN,NaN,,
pAF,137,i,1,198,188.635144389154,195,69.3832599118943,22,22,6.34765625,1.0368,6.0-6.5,mid
pAF,151,i,1,203,168.4576654599,195,64.8815653964984,35,33,5.2490234375,0.9009,5.0-5.5,mid
pAF,184,i,0,NaN,234.625842909714,261,80.1526717557252,14,0,NaN,NaN,,
pAF,205,i,1,212,182.913023072055,203,68.4782608695652,33,15,5.0048828125,1.179,5.0-5.5,mid
pAF,209,i,1,187,170.603070962199,184,74.2924528301887,15,15,6.34765625,1.1025,6.0-6.5,mid
pAF,212,i,1,217,181.36520834994,197,77.9702970297029,23,1,5.2490234375,1.2213,5.0-5.5,mid
pAF,229,i,0,NaN,221.266460574581,227,84.6774193548387,2,0,NaN,NaN,,
pAF,232,i,1,179,170.923202975224,178,68.3297180043384,24,24,7.080078125,0.8253,6.5-7.3,high
pAF,236,i,0,NaN,197.065376250532,237,69.5364238410596,11,0,NaN,NaN,,
pAF,241,i,1,222,213.792275961641,222,71.6723549488055,7,7,5.859375,1.2339,5.5-6.0,mid
pAF,250,i,0,NaN,227.41721117877,238,78.5536159600997,7,0,NaN,NaN,,
pAF,258,i,0,NaN,233.640431329652,248,79.9492385786802,9,0,NaN,NaN,,
pAF,267,i,1,195,190.599863206786,191,83.5543766578249,19,19,6.2255859375,1.17,6.0-6.5,mid
pAF,277,i,0,NaN,210.44714933075,231,85.2503382949932,14,0,NaN,NaN,,
pAF,280,i,0,NaN,205.845039386484,236,77.2058823529411,25,0,NaN,NaN,,
pAF,289,i,1,193,169.210952478323,185,87.9888268156424,22,9,5.7373046875,1.1664,5.5-6.0,mid
pAF,299,i,0,NaN,236.850602716797,289,70.7070707070707,1,0,NaN,NaN,,
pAF,309,i,1,176,163.110013951991,172,66.8789808917197,36,36,6.9580078125,0.8685,6.5-7.3,high
pAF,312,i,1,193,183.45784454274,191,78.0669144981413,10,10,7.080078125,1.0188,6.5-7.3,high
pAF,333,i,0,NaN,229.589761944371,246,83.00395256917,1,0,NaN,NaN,,
pAF,367,i,0,NaN,204.801079408484,209,79.8479087452472,8,3,NaN,NaN,,
pAF,377,i,1,182,164.772360662566,180,86.3013698630137,12,12,6.4697265625,1.0656,6.0-6.5,mid
pAF,380,i,0,NaN,221.2083409279,236,78.6516853932584,5,0,NaN,NaN,,
pAF,383,i,1,227,169.39802079332,223,80.4597701149425,31,27,6.2255859375,0.5958,6.0-6.5,mid
pAF,384,i,0,NaN,227.301112218382,298,65.0826446280992,1,0,NaN,NaN,,
pAF,387,i,0,NaN,212.488870963127,269,65.8995815899581,24,0,NaN,NaN,,
pAF,464,i,1,194,168.107657613124,190,84.9056603773585,18,18,5.7373046875,1.0728,5.5-6.0,mid
pAF,469,i,0,NaN,218.92443632373,238,88.6075949367088,11,0,NaN,NaN,,
pAF,475,i,1,253,218.950309064647,250,64.8815653964984,7,7,4.2724609375,0.9954,4.1-4.5,low
pAF,476,i,1,202,172.10074129729,190,80.9768637532134,25,7,5.615234375,1.2942,5.5-6.0,mid
pAF,508,i,0,NaN,177.750749415245,217,81.6062176165803,16,0,NaN,NaN,,
pAF,509,i,1,214,184.036849569988,211,60.9874152952566,21,21,5.126953125,1.0269,5.0-5.5,mid
pAF,516,i,0,NaN,227.465982155016,301,73.3410942956927,10,0,NaN,NaN,,
pAF,522,i,1,180,166.215734422112,177,80.8729139922978,20,20,6.4697265625,1.0989,6.0-6.5,mid
pAF,526,i,1,222,220.574804260585,218,77.5862068965517,11,11,5.615234375,1.2645,5.5-6.0,mid
pAF,527,i,1,185,180.932722244266,184,80.1526717557252,16,16,7.080078125,1.1106,6.5-7.3,high
pAF,531,i,1,225,221.613576714299,222,82.4607329842932,6,1,5.9814453125,1.1412,5.5-6.0,mid
pAF,542,i,0,NaN,216.129435835792,231,85.5978260869565,12,0,NaN,NaN,,
pAF,575,i,0,NaN,207.044687000729,234,69.1547749725576,20,0,NaN,NaN,,
pAF,581,i,0,NaN,212.874959464054,218,85.3658536585366,8,0,NaN,NaN,,
pAF,599,i,1,214,204.499183475084,212,71.753986332574,16,16,6.2255859375,1.053,6.0-6.5,mid
pAF,609,i,1,187,176.49247188431,184,76.6423357664233,20,20,6.4697265625,1.2285,6.0-6.5,mid
pAF,613,i,0,NaN,240.801432571468,234,83.8881491344873,2,0,NaN,NaN,,
pAF,631,i,0,NaN,237.841649003974,274,72.1649484536082,3,0,NaN,NaN,,
pAF,633,i,0,NaN,219.695476841523,253,77.970297029703,2,0,NaN,NaN,,
pAF,666,i,1,206,194.378677692759,203,76.4563106796116,16,16,5.7373046875,1.1835,5.5-6.0,mid
pAF,682,i,0,NaN,199.443114022455,231,84.6774193548387,12,0,NaN,NaN,,
pAF,683,i,1,191,165.130121357506,186,64.7482014388489,34,34,5.7373046875,0.9747,5.5-6.0,mid
pAF,702,i,1,199,160.6728247848,195,66.5258711721225,38,37,5.2490234375,1.1034,5.0-5.5,mid
pAF,726,i,0,NaN,239.394175844187,295,62.3762376237624,7,0,NaN,NaN,,
pAF,738,i,1,185,184.452100212009,184,85.5978260869565,6,6,6.7138671875,1.4958,6.5-7.3,high
pAF,747,i,1,241,219.020072398533,229,79.145728643216,19,3,5.2490234375,1.359,5.0-5.5,mid
pAF,752,i,1,181,177.170434401814,179,85.3658536585366,16,16,6.591796875,1.1439,6.5-7.3,high
pAF,754,i,0,NaN,224.352420641437,250,85.2503382949932,14,0,NaN,NaN,,
pAF,760,i,1,197,177.426468148151,193,75.9951749095295,29,29,5.859375,1.3266,5.5-6.0,mid
pAF,779,i,1,227,211.031998350169,223,80.7692307692307,5,1,5.37109375,1.4076,5.0-5.5,mid
pAF,786,i,1,199,176.575671852464,192,86.1833105335157,25,23,5.9814453125,1.3527,5.5-6.0,mid
pAF,789,i,1,213,202.161443790996,210,82.03125,11,1,5.7373046875,1.4004,5.5-6.0,mid
pAF,796,i,1,179,174.247089300305,178,83.8881491344873,10,10,7.080078125,1.0881,6.5-7.3,high
pAF,807,i,1,207,188.306424187016,201,75.4491017964072,29,11,5.615234375,1.3734,5.5-6.0,mid
pAF,814,i,0,NaN,192.034402550278,197,85.9481582537517,16,1,NaN,NaN,,
pAF,820,i,0,NaN,232.224874024658,239,86.6574965612104,3,0,NaN,NaN,,
pAF,821,i,1,221,172.076549504302,218,59.6590909090909,25,25,4.5166015625,0.9036,4.5-5.0,low
pAF,826,i,1,184,164.859050767736,180,72.8323699421966,29,29,6.2255859375,0.9702,6.0-6.5,mid
pAF,829,i,1,209,194.168363806435,208,85.7142857142857,7,7,5.615234375,1.0908,5.5-6.0,mid
