population,profile_id,flecainide,tertiapin-Q,vernakalant,exclusive_drug,is_exclusive_responder
IREpAF,153,0.0,0.0,1.0,vernakalant,True
IREpAF,181,0.0,0.0,1.0,vernakalant,True
IREpAF,507,0.0,0.0,1.0,vernakalant,True
IREpAF,1157,0.0,0.0,1.0,vernakalant,True
IREpAF,1373,0.0,0.0,1.0,vernakalant,True
IREpAF,1403,0.0,0.0,1.0,vernakalant,True
IREpAF,1608,0.0,1.0,0.0,tertiapin-Q,True
IREpAF,1663,1.0,0.0,0.0,flecainide,True
IREpAF,2109,1.0,0.0,0.0,flecainide,True
IREpAF,2156,0.0,0.0,1.0,vernakalant,True
IREpAF,2417,0.0,1.0,0.0,tertiapin-Q,True
IREpAF,2466,0.0,0.0,1.0,vernakalant,True
IREpAF,2488,0.0,0.0,1.0,vernakalant,True
IREpAF,2496,0.0,0.0,1.0,vernakalant,True
IREpAF,2568,0.0,0.0,1.0,vernakalant,True
IREpAF,2674,0.0,0.0,1.0,vernakalant,True
IREpAF,2890,0.0,0.0,1.0,vernakalant,True
IREpAF,2966,0.0,0.0,1.0,vernakalant,True
IREpAF,2984,0.0,0.0,1.0,vernakalant,True
IREpAF,3285,0.0,0.0,1.0,vernakalant,True
IREpAF,3607,0.0,0.0,1.0,vernakalant,True
IREpAF,3632,0.0,0.0,1.0,vernakalant,True
IREpAF,3651,0.0,0.0,1.0,vernakalant,True
IREpAF,3810,0.0,0.0,1.0,vernakalant,True
IREpAF,3843,0.0,0.0,1.0,vernakalant,True
IREpAF,3948,0.0,0.0,1.0,vernakalant,True
IREpAF,4093,0.0,0.0,1.0,vernakalant,True
IREpAF,4157,0.0,0.0,1.0,vernakalant,True
IREpAF,5067,0.0,0.0,1.0,vernakalant,True
IREpAF,5552,0.0,0.0,1.0,vernakalant,True
IREpAF,5843,0.0,0.0,1.0,vernakalant,True
IREpAF,5947,0.0,0.0,1.0,vernakalant,True
IREpAF,6048,1.0,0.0,0.0,flecainide,True
IREpAF,6714,0.0,0.0,1.0,vernakalant,True
IREpAF,6914,0.0,0.0,1.0,vernakalant,True
IREpAF,7466,0.0,1.0,0.0,tertiapin-Q,True
IREpAF,7745,0.0,1.0,0.0,tertiapin-Q,True
IREpAF,7812,0.0,0.0,1.0,vernakalant,True
IREpAF,7861,1.0,0.0,0.0,flecainide,True
IREpAF,8262,0.0,0.0,1.0,vernakalant,True
IREpAF,8703,0.0,0.0,1.0,vernakalant,True
IREpAF,8735,0.0,0.0,1.0,vernakalant,True
IREpAF,8947,0.0,0.0,1.0,vernakalant,True
IREpAF,9411,0.0,0.0,1.0,vernakalant,True
IREpAF,9739,0.0,0.0,1.0,vernakalant,True
IREpAF,9836,0.0,0.0,1.0,vernakalant,True
IREpAF,9984,0.0,0.0,1.0,vernakalant,True
pAF,11,0.0,0.0,1.0,vernakalant,True
pAF,37,0.0,0.0,1.0,vernakalant,True
pAF,73,0.0,0.0,1.0,vernakalant,True
pAF,151,1.0,0.0,0.0,flecainide,True
pAF,464,0.0,0.0,1.0,vernakalant,True
pAF,476,1.0,0.0,0.0,flecainide,True
pAF,509,0.0,0.0,1.0,vernakalant,True
pAF,522,1.0,0.0,0.0,flecainide,True
pAF,526,1.0,0.0,0.0,flecainide,True
pAF,821,0.0,0.0,1.0,vernakalant,True
pAF,829,0.0,0.0,1.0,vernakalant,True
pAF,988,0.0,0.0,1.0,vernakalant,True
pAF,1003,0.0,0.0,1.0,vernakalant,True
pAF,1135,1.0,0.0,0.0,flecainide,True
pAF,1140,1.0,0.0,0.0,flecainide,True
pAF,1176,1.0,0.0,0.0,flecainide,True
pAF,1210,0.0,0.0,1.0,vernakalant,True
pAF,1342,1.0,0.0,0.0,flecainide,True
pAF,1476,1.0,0.0,0.0,flecainide,True
pAF,1510,0.0,0.0,1.0,vernakalant,True
pAF,1527,0.0,0.0,1.0,vernakalant,True
pAF,1544,0.0,1.0,0.0,tertiapin-Q,True
pAF,1710,0.0,0.0,1.0,vernakalant,True
pAF,1713,1.0,0.0,0.0,flecainide,True
pAF,1811,0.0,0.0,1.0,vernakalant,True
pAF,1957,0.0,1.0,0.0,tertiapin-Q,True
pAF,1992,0.0,0.0,1.0,vernakalant,True
pAF,2036,1.0,0.0,0.0,flecainide,True
pAF,2054,0.0,0.0,1.0,vernakalant,True
pAF,2070,1.0,0.0,0.0,flecainide,True
pAF,2079,0.0,0.0,1.0,vernakalant,True
pAF,2080,0.0,0.0,1.0,vernakalant,True
pAF,2128,0.0,0.0,1.0,vernakalant,True
pAF,2552,0.0,0.0,1.0,vernakalant,True
pAF,2582,0.0,0.0,1.0,vernakalant,True
pAF,2765,0.0,0.0,1.0,vernakalant,True
pAF,2947,0.0,0.0,1.0,vernakalant,True
pAF,3104,0.0,0.0,1.0,vernakalant,True
pAF,3108,0.0,0.0,1.0,vernakalant,True
pAF,3155,0.0,0.0,1.0,vernakalant,True
pAF,3175,0.0,1.0,0.0,tertiapin-Q,True
pAF,3189,0.0,0.0,1.0,vernakalant,True
pAF,3199,0.0,0.0,1.0,vernakalant,True
pAF,3211,1.0,0.0,0.0,flecainide,True
pAF,3239,0.0,0.0,1.0,vernakalant,True
pAF,3246,0.0,0.0,1.0,vernakalant,True
pAF,3346,0.0,0.0,1.0,vernakalant,True
pAF,3444,0.0,0.0,1.0,vernakalant,True
pAF,3456,0.0,0.0,1.0,vernakalant,True
pAF,3471,1.0,0.0,0.0,flecainide,True
pAF,3515,0.0,0.0,1.0,vernakalant,True
pAF,3566,0.0,0.0,1.0,vernakalant,True
pAF,3645,0.0,0.0,1.0,vernakalant,True
pAF,3747,0.0,0.0,1.0,vernakalant,True
pAF,3937,1.0,0.0,0.0,flecainide,True
pAF,3958,1.0,0.0,0.0,flecainide,True
pAF,4022,0.0,0.0,1.0,vernakalant,True
pAF,4166,1.0,0.0,0.0,flecainide,True
pAF,4246,0.0,0.0,1.0,vernakalant,True
pAF,4431,1.0,0.0,0.0,flecainide,True
pAF,4452,0.0,0.0,1.0,vernakalant,True
pAF,4671,0.0,0.0,1.0,vernakalant,True
pAF,4674,0.0,0.0,1.0,vernakalant,True
pAF,4720,0.0,0.0,1.0,vernakalant,True
pAF,4854,0.0,0.0,1.0,vernakalant,True
pAF,4860,1.0,0.0,0.0,flecainide,True
pAF,4862,0.0,0.0,1.0,vernakalant,True
pAF,4926,0.0,0.0,1.0,vernakalant,True
pAF,4964,1.0,0.0,0.0,flecainide,True
pAF,5088,1.0,0.0,0.0,flecainide,True
pAF,5114,1.0,0.0,0.0,flecainide,True
pAF,5420,0.0,0.0,1.0,vernakalant,True
pAF,5466,1.0,0.0,0.0,flecainide,True
pAF,5882,0.0,0.0,1.0,vernakalant,True
pAF,6205,0.0,0.0,1.0,vernakalant,True
pAF,6259,0.0,0.0,1.0,vernakalant,True
pAF,6284,0.0,0.0,1.0,vernakalant,True
pAF,6377,1.0,0.0,0.0,flecainide,True
pAF,6413,0.0,0.0,1.0,vernakalant,True
pAF,6494,0.0,0.0,1.0,vernakalant,True
pAF,6518,1.0,0.0,0.0,flecainide,True
pAF,6639,1.0,0.0,0.0,flecainide,True
pAF,6665,1.0,0.0,0.0,flecainide,True
pAF,6690,1.0,0.0,0.0,flecainide,True
pAF,6713,1.0,0.0,0.0,flecainide,True
pAF,6776,0.0,0.0,1.0,vernakalant,True
pAF,6795,0.0,0.0,1.0,vernakalant,True
pAF,6890,1.0,0.0,0.0,flecainide,True
pAF,7033,1.0,0.0,0.0,flecainide,True
pAF,7115,0.0,0.0,1.0,vernakalant,True
pAF,7257,0.0,0.0,1.0,vernakalant,True
pAF,7428,0.0,1.0,0.0,tertiapin-Q,True
pAF,8000,0.0,0.0,1.0,vernakalant,True
pAF,8075,0.0,0.0,1.0,vernakalant,True
pAF,8307,0.0,0.0,1.0,vernakalant,True
pAF,8406,0.0,0.0,1.0,vernakalant,True
pAF,8614,1.0,0.0,0.0,flecainide,True
pAF,8630,0.0,0.0,1.0,vernakalant,True
pAF,8639,1.0,0.0,0.0,flecainide,True
pAF,8701,1.0,0.0,0.0,flecainide,True
pAF,8725,1.0,0.0,0.0,flecainide,True
pAF,8763,0.0,0.0,1.0,vernakalant,True
pAF,8841,0.0,0.0,1.0,vernakalant,True
pAF,8925,1.0,0.0,0.0,flecainide,True
pAF,8967,0.0,0.0,1.0,vernakalant,True
pAF,9038,0.0,0.0,1.0,vernakalant,True
pAF,9123,0.0,0.0,1.0,vernakalant,True
pAF,9137,0.0,0.0,1.0,vernakalant,True
pAF,9141,1.0,0.0,0.0,flecainide,True
pAF,9142,1.0,0.0,0.0,flecainide,True
pAF,9184,1.0,0.0,0.0,flecainide,True
pAF,9211,0.0,0.0,1.0,vernakalant,True
pAF,9235,1.0,0.0,0.0,flecainide,True
pAF,9269,1.0,0.0,0.0,flecainide,True
pAF,9380,1.0,0.0,0.0,flecainide,True
pAF,9543,0.0,0.0,1.0,vernakalant,True
pAF,9611,0.0,0.0,1.0,vernakalant,True
pAF,9821,1.0,0.0,0.0,flecainide,True
pAF,9865,1.0,0.0,0.0,flecainide,True
pAF,9931,1.0,0.0,0.0,flecainide,True
pAF,9938,0.0,0.0,1.0,vernakalant,True
pAF,9986,0.0,0.0,1.0,vernakalant,True
